IDChamado;DataAbertura;Solicitante;Departamento;Categoria;DescricaoCurta;Urgencia;Status;TecnicoResponsavel;DataFechamento
HD-036;18/01/2025 14:15;Luciana Rocha;Operações;Backup;Conexão com servidor instável;Baixa;Em andamento;Paulo;
HD-037;19/01/2025 16:07;Mariana Dias;Marketing;Falha em equipamento;Troca de senha solicitada;Média;Pendente;Gabriel;
HD-038;13/10/2024 14:43;Juliana Castro;Operações;Troca de senha;Erro ao abrir planilha;Alta;Fechado;Gabriel;14/10/2024 18:26
HD-039;06/11/2024 08:40;João Mendes;Jurídico;Troca de senha;Problema com impressão;Crítica;Aberto;Gabriel;
HD-040;01/01/2025 12:26;Luciana Rocha;TI;Falha em equipamento;Problema com impressão;Média;Pendente;Gabriel;
HD-041;12/03/2025 14:42;Mariana Dias;Financeiro;Problemas de rede;Troca de senha solicitada;Crítica;Pendente;Guilherme;
HD-042;18/02/2025 11:11;Luciana Rocha;TI;Solicitação de software;Troca de senha solicitada;Baixa;Resolvido;Gabriel;18/02/2025 18:55
HD-043;17/02/2025 08:58;Juliana Castro;Jurídico;Solicitação de software;Usuário não consegue acessar o sistema;Alta;Pendente;Paulo;
HD-044;29/11/2024 09:15;João Mendes;Logística;Backup;Troca de senha solicitada;Crítica;Fechado;Gabriel;29/11/2024 15:15
HD-045;30/01/2025 09:38;Juliana Castro;RH;Erro em sistema;Erro ao abrir planilha;Alta;Aberto;Paulo;
HD-046;09/02/2025 16:20;Bruno Alves;Marketing;Troca de senha;Problema com impressão;Crítica;Aberto;Gabriel;
HD-047;01/11/2024 12:33;Carlos Silva;TI;Problemas de rede;Problema com impressão;Crítica;Aberto;Gabriel;
HD-048;17/03/2025 13:57;Luciana Rocha;TI;Backup;Problema com impressão;Baixa;Fechado;Gabriel;19/03/2025 08:30
HD-049;28/12/2024 10:20;Luciana Rocha;Comercial;Acesso ao sistema;Erro ao abrir planilha;Crítica;Fechado;Gabriel;30/12/2024 08:30
HD-050;09/11/2024 11:59;Luciana Rocha;Comercial;Acesso ao sistema;Problema com impressão;Alta;Em andamento;Gabriel;
HD-051;28/10/2024 11:52;Ana Paula;Financeiro;Erro em sistema;Solicitação de instalação do Office;Baixa;Resolvido;Gabriel;30/10/2024 18:36
HD-052;23/11/2024 14:45;Fernando Lima;RH;Troca de senha;Troca de senha solicitada;Média;Pendente;Guilherme;
HD-053;24/03/2025 09:38;Carlos Silva;TI;Backup;Troca de senha solicitada;Média;Fechado;Guilherme;24/03/2025 18:02
HD-054;21/03/2025 14:57;Bruno Alves;Logística;Solicitação de software;Solicitação de instalação do Office;Crítica;Aberto;Guilherme;
HD-055;31/03/2025 15:01;Bruno Alves;Operações;Solicitação de software;Erro ao abrir planilha;Crítica;Pendente;Gabriel;
HD-056;21/12/2024 13:15;João Mendes;RH;Solicitação de software;Problema com impressão;Alta;Fechado;Gabriel;24/12/2024 10:15
HD-057;04/04/2025 12:56;Juliana Castro;Operações;Acesso ao sistema;Erro ao abrir planilha;Baixa;Resolvido;Guilherme;06/04/2025 13:56
HD-058;21/10/2024 10:46;João Mendes;Financeiro;Acesso ao sistema;Erro ao abrir planilha;Média;Fechado;Guilherme;24/10/2024 08:26
HD-059;01/01/2025 15:31;João Mendes;Operações;Backup;Conexão com servidor instável;Alta;Pendente;Gabriel;
HD-060;02/02/2025 14:51;João Mendes;Jurídico;Problemas de rede;Troca de senha solicitada;Alta;Fechado;Guilherme;05/02/2025 08:39
HD-061;15/10/2024 14:32;Ana Paula;Marketing;Backup;Usuário não consegue acessar o sistema;Média;Fechado;Guilherme;16/10/2024 08:22
HD-062;03/12/2024 13:41;João Mendes;Marketing;Erro em sistema;Problema com impressão;Média;Fechado;Guilherme;05/12/2024 08:08
HD-063;02/01/2025 12:17;Luciana Rocha;Jurídico;Backup;Troca de senha solicitada;Crítica;Pendente;Gabriel;
HD-064;07/01/2025 08:30;Bruno Alves;Financeiro;Troca de senha;Conexão com servidor instável;Alta;Aberto;Guilherme;
HD-065;13/11/2024 08:36;Luciana Rocha;Logística;Backup;Erro ao abrir planilha;Alta;Fechado;Paulo;14/11/2024 18:36
HD-066;03/04/2025 15:32;Ana Paula;Financeiro;Troca de senha;Usuário não consegue acessar o sistema;Média;Fechado;Gabriel;06/04/2025 08:32
HD-067;10/01/2025 13:16;Luciana Rocha;Jurídico;Acesso ao sistema;Conexão com servidor instável;Alta;Resolvido;Gabriel;12/01/2025 08:42
HD-068;19/03/2025 16:59;João Mendes;Marketing;Erro em sistema;Usuário não consegue acessar o sistema;Crítica;Em andamento;Gabriel;
HD-069;01/03/2025 09:15;Ana Paula;Jurídico;Problemas de rede;Erro ao abrir planilha;Alta;Em andamento;Gabriel;
HD-070;09/01/2025 13:37;Luciana Rocha;TI;Backup;Troca de senha solicitada;Média;Em andamento;Guilherme;
HD-071;21/11/2024 14:00;Bruno Alves;Operações;Problemas de rede;Problema com impressão;Baixa;Pendente;Gabriel;
HD-072;12/11/2024 14:40;João Mendes;Comercial;Troca de senha;Conexão com servidor instável;Baixa;Pendente;Gabriel;
HD-073;14/11/2024 15:09;Luciana Rocha;Comercial;Solicitação de software;Erro ao abrir planilha;Baixa;Resolvido;Gabriel;17/11/2024 10:09
HD-074;23/03/2025 14:45;Ana Paula;Jurídico;Backup;Erro ao abrir planilha;Crítica;Fechado;Gabriel;25/03/2025 11:45
HD-075;13/01/2025 11:41;Mariana Dias;Jurídico;Troca de senha;Troca de senha solicitada;Baixa;Pendente;Guilherme;
HD-076;29/10/2024 08:59;Carlos Silva;Jurídico;Backup;Troca de senha solicitada;Alta;Pendente;Guilherme;
HD-077;21/01/2025 16:52;Luciana Rocha;Financeiro;Problemas de rede;Solicitação de instalação do Office;Média;Pendente;Guilherme;
HD-078;26/03/2025 10:11;Ana Paula;Marketing;Problemas de rede;Erro ao abrir planilha;Baixa;Resolvido;Guilherme;28/03/2025 12:11
HD-079;22/03/2025 13:50;Ana Paula;Marketing;Erro em sistema;Conexão com servidor instável;Média;Pendente;Paulo;
HD-080;24/10/2024 08:41;Bruno Alves;Marketing;Acesso ao sistema;Troca de senha solicitada;Baixa;Aberto;Gabriel;
HD-081;12/11/2024 13:42;João Mendes;Financeiro;Falha em equipamento;Erro ao abrir planilha;Baixa;Em andamento;Gabriel;
HD-082;01/03/2025 15:37;Bruno Alves;Operações;Solicitação de software;Troca de senha solicitada;Baixa;Fechado;Guilherme;03/03/2025 08:35
HD-083;19/12/2024 16:16;Juliana Castro;Jurídico;Solicitação de software;Solicitação de instalação do Office;Média;Pendente;Guilherme;
HD-084;04/11/2024 10:37;Carlos Silva;Marketing;Falha em equipamento;Conexão com servidor instável;Alta;Em andamento;Gabriel;
HD-085;15/03/2025 09:59;Luciana Rocha;Logística;Solicitação de software;Usuário não consegue acessar o sistema;Baixa;Aberto;Gabriel;
HD-086;01/03/2025 11:59;João Mendes;Logística;Acesso ao sistema;Conexão com servidor instável;Crítica;Pendente;Gabriel;
HD-087;14/01/2025 09:41;Fernando Lima;Financeiro;Problemas de rede;Usuário não consegue acessar o sistema;Média;Aberto;Gabriel;
HD-088;04/01/2025 10:07;Luciana Rocha;TI;Acesso ao sistema;Problema com impressão;Crítica;Em andamento;Gabriel;
HD-089;01/01/2025 12:19;Luciana Rocha;RH;Solicitação de software;Conexão com servidor instável;Crítica;Aberto;Guilherme;
HD-090;19/03/2025 11:47;Bruno Alves;Logística;Problemas de rede;Problema com impressão;Alta;Fechado;Guilherme;20/03/2025 08:47
HD-091;06/11/2024 14:06;João Mendes;Marketing;Erro em sistema;Conexão com servidor instável;Crítica;Fechado;Guilherme;07/11/2024 08:36
HD-092;27/11/2024 15:18;Ana Paula;RH;Erro em sistema;Erro ao abrir planilha;Crítica;Fechado;Gabriel;29/11/2024 18:23
HD-093;15/11/2024 13:58;Fernando Lima;Marketing;Solicitação de software;Usuário não consegue acessar o sistema;Crítica;Aberto;Gabriel;
HD-094;14/10/2024 08:16;Juliana Castro;RH;Backup;Problema com impressão;Baixa;Resolvido;Gabriel;15/10/2024 15:16
HD-095;29/03/2025 16:14;Fernando Lima;Logística;Falha em equipamento;Conexão com servidor instável;Baixa;Resolvido;Paulo;30/03/2025 15:14
HD-096;24/12/2024 11:22;Carlos Silva;Comercial;Backup;Conexão com servidor instável;Crítica;Fechado;Paulo;24/12/2024 14:22
HD-097;09/10/2024 09:00;Fernando Lima;Marketing;Backup;Problema com impressão;Média;Pendente;Gabriel;
HD-098;25/10/2024 09:06;João Mendes;RH;Acesso ao sistema;Erro ao abrir planilha;Crítica;Em andamento;Gabriel;
HD-099;24/01/2025 08:41;Bruno Alves;Operações;Backup;Problema com impressão;Baixa;Resolvido;Gabriel;25/01/2025 18:42
HD-100;01/01/2025 10:51;Luciana Rocha;Jurídico;Backup;Usuário não consegue acessar o sistema;Baixa;Aberto;Guilherme;
HD-101;05/01/2025 16:58;Bruno Alves;Comercial;Backup;Usuário não consegue acessar o sistema;Baixa;Pendente;Paulo;
HD-102;14/10/2024 11:33;Juliana Castro;Comercial;Erro em sistema;Erro ao abrir planilha;Crítica;Pendente;Gabriel;
HD-103;30/01/2025 09:48;Mariana Dias;Financeiro;Falha em equipamento;Troca de senha solicitada;Crítica;Em andamento;Gabriel;
HD-104;14/11/2024 10:05;João Mendes;Financeiro;Backup;Usuário não consegue acessar o sistema;Média;Aberto;Gabriel;
HD-105;19/12/2024 14:47;Carlos Silva;Operações;Problemas de rede;Usuário não consegue acessar o sistema;Crítica;Em andamento;Gabriel;
HD-106;03/02/2025 09:00;Carlos Silva;Operações;Troca de senha;Problema com impressão;Baixa;Resolvido;Gabriel;05/02/2025 18:03
HD-107;29/12/2024 11:47;Ana Paula;Financeiro;Troca de senha;Conexão com servidor instável;Baixa;Aberto;Gabriel;
HD-108;26/10/2024 11:48;Carlos Silva;Marketing;Troca de senha;Solicitação de instalação do Office;Baixa;Aberto;Gabriel;
HD-109;03/11/2024 16:04;João Mendes;Financeiro;Troca de senha;Troca de senha solicitada;Média;Fechado;Gabriel;04/11/2024 13:04
HD-110;04/03/2025 10:10;Mariana Dias;Logística;Acesso ao sistema;Problema com impressão;Alta;Resolvido;Gabriel;06/03/2025 17:10
HD-111;13/03/2025 09:40;Juliana Castro;TI;Troca de senha;Conexão com servidor instável;Baixa;Em andamento;Gabriel;
HD-112;10/12/2024 11:13;Fernando Lima;Jurídico;Falha em equipamento;Solicitação de instalação do Office;Crítica;Pendente;Gabriel;
HD-113;24/02/2025 16:21;Fernando Lima;TI;Backup;Troca de senha solicitada;Média;Em andamento;Paulo;
HD-114;15/11/2024 08:26;Carlos Silva;RH;Falha em equipamento;Troca de senha solicitada;Alta;Aberto;Guilherme;
HD-115;29/01/2025 09:55;Juliana Castro;TI;Troca de senha;Problema com impressão;Alta;Em andamento;Guilherme;
HD-116;10/11/2024 14:21;Fernando Lima;Marketing;Troca de senha;Problema com impressão;Alta;Em andamento;Gabriel;
HD-117;08/01/2025 15:09;Juliana Castro;Financeiro;Troca de senha;Solicitação de instalação do Office;Crítica;Fechado;Guilherme;10/01/2025 17:09
HD-118;26/02/2025 15:05;João Mendes;Marketing;Problemas de rede;Troca de senha solicitada;Crítica;Pendente;Gabriel;
HD-119;19/02/2025 08:57;Luciana Rocha;Comercial;Problemas de rede;Troca de senha solicitada;Crítica;Fechado;Guilherme;20/02/2025 08:16
HD-120;13/02/2025 10:29;Mariana Dias;Marketing;Falha em equipamento;Erro ao abrir planilha;Baixa;Resolvido;Gabriel;15/02/2025 18:10
HD-121;05/01/2025 08:32;Juliana Castro;Logística;Falha em equipamento;Conexão com servidor instável;Média;Pendente;Gabriel;
HD-122;15/02/2025 09:49;João Mendes;Jurídico;Troca de senha;Erro ao abrir planilha;Alta;Resolvido;Gabriel;15/02/2025 17:49
HD-123;16/10/2024 13:07;Carlos Silva;Jurídico;Acesso ao sistema;Conexão com servidor instável;Crítica;Fechado;Gabriel;17/10/2024 15:07
HD-124;26/01/2025 09:07;Luciana Rocha;Financeiro;Problemas de rede;Troca de senha solicitada;Média;Resolvido;Guilherme;26/01/2025 18:47
HD-125;23/10/2024 13:20;João Mendes;Comercial;Problemas de rede;Solicitação de instalação do Office;Crítica;Resolvido;Gabriel;25/10/2024 08:12
HD-126;25/11/2024 13:00;João Mendes;Comercial;Solicitação de software;Problema com impressão;Crítica;Resolvido;Gabriel;27/11/2024 08:00
HD-127;03/11/2024 13:01;Ana Paula;TI;Erro em sistema;Usuário não consegue acessar o sistema;Crítica;Fechado;Gabriel;04/11/2024 17:01
HD-128;06/02/2025 09:27;Juliana Castro;Comercial;Problemas de rede;Conexão com servidor instável;Alta;Fechado;Guilherme;07/02/2025 08:47
HD-129;09/02/2025 08:31;Bruno Alves;Financeiro;Erro em sistema;Conexão com servidor instável;Baixa;Em andamento;Guilherme;
HD-130;13/02/2025 12:08;Luciana Rocha;Jurídico;Acesso ao sistema;Erro ao abrir planilha;Alta;Em andamento;Paulo;
HD-131;15/10/2024 10:48;Luciana Rocha;Marketing;Acesso ao sistema;Conexão com servidor instável;Crítica;Fechado;Gabriel;18/10/2024 08:48
HD-132;28/02/2025 09:47;João Mendes;Operações;Solicitação de software;Problema com impressão;Crítica;Resolvido;Gabriel;01/03/2025 08:15
HD-133;24/01/2025 14:44;Carlos Silva;TI;Problemas de rede;Conexão com servidor instável;Baixa;Em andamento;Gabriel;
HD-134;21/10/2024 11:08;Juliana Castro;Comercial;Troca de senha;Erro ao abrir planilha;Crítica;Resolvido;Guilherme;22/10/2024 08:08
HD-135;07/02/2025 14:26;Luciana Rocha;Logística;Acesso ao sistema;Troca de senha solicitada;Média;Fechado;Guilherme;07/02/2025 16:26
HD-136;11/12/2024 15:08;Fernando Lima;Logística;Solicitação de software;Erro ao abrir planilha;Crítica;Pendente;Paulo;
HD-137;06/11/2024 12:48;Juliana Castro;Jurídico;Falha em equipamento;Erro ao abrir planilha;Crítica;Em andamento;Guilherme;
HD-138;01/04/2025 14:52;Mariana Dias;Jurídico;Problemas de rede;Conexão com servidor instável;Alta;Fechado;Guilherme;02/04/2025 10:52
HD-139;05/11/2024 08:03;João Mendes;Logística;Falha em equipamento;Conexão com servidor instável;Média;Resolvido;Gabriel;07/11/2024 08:54
HD-140;24/11/2024 14:29;Fernando Lima;Jurídico;Problemas de rede;Usuário não consegue acessar o sistema;Média;Aberto;Guilherme;
HD-141;27/03/2025 09:11;Mariana Dias;Financeiro;Falha em equipamento;Usuário não consegue acessar o sistema;Crítica;Em andamento;Guilherme;
HD-142;10/12/2024 11:57;João Mendes;Jurídico;Troca de senha;Erro ao abrir planilha;Baixa;Em andamento;Gabriel;
HD-143;12/12/2024 12:38;Carlos Silva;RH;Troca de senha;Troca de senha solicitada;Crítica;Em andamento;Gabriel;
HD-144;28/02/2025 12:20;Ana Paula;Comercial;Problemas de rede;Troca de senha solicitada;Média;Aberto;Paulo;
HD-145;26/12/2024 16:52;Bruno Alves;Operações;Erro em sistema;Problema com impressão;Alta;Fechado;Guilherme;29/12/2024 14:52
HD-146;06/11/2024 14:05;Mariana Dias;RH;Backup;Conexão com servidor instável;Alta;Em andamento;Guilherme;
HD-147;08/12/2024 11:01;Mariana Dias;Comercial;Backup;Solicitação de instalação do Office;Baixa;Aberto;Gabriel;
HD-148;22/12/2024 12:05;Fernando Lima;Logística;Problemas de rede;Solicitação de instalação do Office;Média;Fechado;Gabriel;25/12/2024 08:05
HD-149;23/01/2025 16:50;Carlos Silva;Comercial;Solicitação de software;Conexão com servidor instável;Alta;Fechado;Guilherme;24/01/2025 17:50
HD-150;08/01/2025 13:27;Carlos Silva;Comercial;Backup;Conexão com servidor instável;Média;Pendente;Guilherme;
HD-151;04/11/2024 13:59;Mariana Dias;Comercial;Backup;Usuário não consegue acessar o sistema;Baixa;Fechado;Gabriel;06/11/2024 17:59
HD-152;22/11/2024 09:34;Fernando Lima;Financeiro;Solicitação de software;Problema com impressão;Baixa;Em andamento;Gabriel;
HD-153;05/12/2024 13:55;Luciana Rocha;Logística;Acesso ao sistema;Solicitação de instalação do Office;Baixa;Pendente;Gabriel;
HD-154;21/01/2025 08:45;Mariana Dias;Financeiro;Solicitação de software;Troca de senha solicitada;Média;Resolvido;Gabriel;22/01/2025 08:03
HD-155;02/11/2024 13:29;João Mendes;Comercial;Backup;Problema com impressão;Alta;Resolvido;Guilherme;03/11/2024 15:29
HD-156;05/04/2025 12:13;Mariana Dias;Operações;Problemas de rede;Problema com impressão;Baixa;Resolvido;Paulo;07/04/2025 08:07
HD-157;23/01/2025 15:37;Fernando Lima;TI;Solicitação de software;Conexão com servidor instável;Crítica;Em andamento;Gabriel;
HD-158;28/10/2024 15:26;Ana Paula;Financeiro;Troca de senha;Troca de senha solicitada;Baixa;Em andamento;Paulo;
HD-159;11/12/2024 16:46;João Mendes;Logística;Erro em sistema;Problema com impressão;Crítica;Fechado;Guilherme;12/12/2024 16:46
HD-160;15/11/2024 09:33;Ana Paula;Logística;Falha em equipamento;Solicitação de instalação do Office;Alta;Fechado;Guilherme;17/11/2024 18:37
HD-161;21/01/2025 12:16;Ana Paula;Operações;Problemas de rede;Erro ao abrir planilha;Alta;Pendente;Guilherme;
HD-162;21/10/2024 14:13;Bruno Alves;Marketing;Problemas de rede;Erro ao abrir planilha;Alta;Fechado;Gabriel;24/10/2024 08:42
HD-163;14/02/2025 13:03;Fernando Lima;Financeiro;Solicitação de software;Troca de senha solicitada;Média;Em andamento;Guilherme;
HD-164;12/03/2025 16:03;Carlos Silva;Logística;Erro em sistema;Usuário não consegue acessar o sistema;Baixa;Resolvido;Guilherme;13/03/2025 15:03
HD-165;09/11/2024 15:21;Carlos Silva;Marketing;Solicitação de software;Conexão com servidor instável;Alta;Fechado;Gabriel;10/11/2024 08:53
HD-166;25/11/2024 14:05;Juliana Castro;Jurídico;Problemas de rede;Problema com impressão;Baixa;Pendente;Guilherme;
HD-167;29/10/2024 15:28;Fernando Lima;Operações;Solicitação de software;Troca de senha solicitada;Baixa;Em andamento;Gabriel;
HD-168;20/12/2024 14:30;Carlos Silva;Comercial;Erro em sistema;Troca de senha solicitada;Crítica;Em andamento;Paulo;
HD-169;30/01/2025 15:41;Mariana Dias;Operações;Falha em equipamento;Troca de senha solicitada;Baixa;Fechado;Guilherme;01/02/2025 08:34
HD-170;21/11/2024 11:57;Luciana Rocha;Marketing;Backup;Conexão com servidor instável;Crítica;Resolvido;Gabriel;24/11/2024 08:26
HD-171;16/02/2025 13:01;Carlos Silva;Marketing;Solicitação de software;Troca de senha solicitada;Baixa;Aberto;Gabriel;
HD-172;19/11/2024 16:29;Mariana Dias;RH;Falha em equipamento;Problema com impressão;Média;Em andamento;Paulo;
HD-173;17/01/2025 08:39;Bruno Alves;Marketing;Erro em sistema;Problema com impressão;Crítica;Pendente;Paulo;
HD-174;05/04/2025 13:22;Carlos Silva;Jurídico;Solicitação de software;Conexão com servidor instável;Baixa;Pendente;Gabriel;
HD-175;22/10/2024 15:48;João Mendes;TI;Acesso ao sistema;Usuário não consegue acessar o sistema;Crítica;Fechado;Guilherme;23/10/2024 08:48
HD-176;13/12/2024 10:04;Mariana Dias;Operações;Falha em equipamento;Troca de senha solicitada;Baixa;Aberto;Gabriel;
HD-177;20/11/2024 13:01;Carlos Silva;Jurídico;Troca de senha;Problema com impressão;Crítica;Resolvido;Gabriel;21/11/2024 18:27
HD-178;09/02/2025 11:46;João Mendes;Financeiro;Backup;Solicitação de instalação do Office;Crítica;Resolvido;Gabriel;10/02/2025 08:46
HD-179;16/12/2024 16:48;Mariana Dias;Jurídico;Solicitação de software;Erro ao abrir planilha;Média;Resolvido;Guilherme;18/12/2024 15:48
HD-180;02/03/2025 16:43;João Mendes;Jurídico;Troca de senha;Problema com impressão;Crítica;Aberto;Guilherme;
HD-181;12/12/2024 14:51;Juliana Castro;Operações;Troca de senha;Troca de senha solicitada;Média;Resolvido;Guilherme;14/12/2024 18:51
HD-182;09/01/2025 16:48;Carlos Silva;Financeiro;Acesso ao sistema;Problema com impressão;Média;Pendente;Gabriel;
HD-183;18/03/2025 08:50;Bruno Alves;Financeiro;Falha em equipamento;Solicitação de instalação do Office;Crítica;Fechado;Gabriel;19/03/2025 08:50
HD-184;20/11/2024 09:26;Mariana Dias;TI;Troca de senha;Troca de senha solicitada;Média;Resolvido;Gabriel;23/11/2024 08:09
HD-185;02/04/2025 14:25;Fernando Lima;TI;Solicitação de software;Erro ao abrir planilha;Baixa;Resolvido;Paulo;03/04/2025 09:25
HD-186;17/03/2025 12:20;Mariana Dias;Operações;Backup;Conexão com servidor instável;Crítica;Em andamento;Guilherme;
HD-187;12/11/2024 14:37;João Mendes;Jurídico;Solicitação de software;Solicitação de instalação do Office;Crítica;Em andamento;Gabriel;
HD-188;12/12/2024 16:02;Mariana Dias;Financeiro;Falha em equipamento;Conexão com servidor instável;Alta;Em andamento;Paulo;
HD-189;07/02/2025 16:28;Luciana Rocha;Operações;Acesso ao sistema;Troca de senha solicitada;Média;Pendente;Guilherme;
HD-190;02/12/2024 09:21;Mariana Dias;Jurídico;Solicitação de software;Usuário não consegue acessar o sistema;Média;Em andamento;Paulo;
HD-191;11/10/2024 12:03;João Mendes;Financeiro;Troca de senha;Solicitação de instalação do Office;Alta;Resolvido;Paulo;12/10/2024 08:40
HD-192;29/12/2024 11:03;Fernando Lima;Jurídico;Erro em sistema;Erro ao abrir planilha;Baixa;Em andamento;Gabriel;
HD-193;13/12/2024 13:19;Juliana Castro;Jurídico;Falha em equipamento;Troca de senha solicitada;Alta;Fechado;Guilherme;16/12/2024 08:27
HD-194;30/12/2024 16:33;Ana Paula;Comercial;Backup;Solicitação de instalação do Office;Baixa;Em andamento;Gabriel;
HD-195;20/01/2025 14:29;Carlos Silva;RH;Problemas de rede;Solicitação de instalação do Office;Média;Pendente;Guilherme;
HD-196;28/11/2024 13:38;Juliana Castro;TI;Solicitação de software;Usuário não consegue acessar o sistema;Média;Em andamento;Gabriel;
HD-197;26/02/2025 08:51;Luciana Rocha;RH;Solicitação de software;Conexão com servidor instável;Alta;Pendente;Gabriel;
HD-198;29/01/2025 13:52;Juliana Castro;Logística;Acesso ao sistema;Solicitação de instalação do Office;Média;Resolvido;Guilherme;31/01/2025 08:41
HD-199;01/03/2025 11:52;Fernando Lima;Comercial;Backup;Solicitação de instalação do Office;Crítica;Pendente;Gabriel;
HD-200;26/02/2025 15:00;Carlos Silva;Marketing;Problemas de rede;Conexão com servidor instável;Média;Aberto;Guilherme;
HD-201;17/01/2025 12:12;Mariana Dias;Jurídico;Problemas de rede;Solicitação de instalação do Office;Baixa;Fechado;Gabriel;18/01/2025 18:12
HD-202;19/02/2025 11:16;Bruno Alves;Financeiro;Troca de senha;Erro ao abrir planilha;Alta;Fechado;Paulo;20/02/2025 08:11
HD-203;10/10/2024 10:09;Juliana Castro;Marketing;Problemas de rede;Conexão com servidor instável;Média;Aberto;Gabriel;
