IDChamado,DataAbertura,Solicitante,Departamento,Categoria,DescricaoCurta,Urgencia,Status,TecnicoResponsavel,DataFechamento
898,12/03/2025 08:06,Bruno Alves,Operações,Backup,Problema com impressão,Média,Fechado,Gabriel,13/03/2025 13:06
897,29/03/2025 11:38,Mariana Dias,TI,Troca de senha,Erro ao abrir planilha,Média,Fechado,Gabriel,31/03/2025 08:38
896,27/02/2025 08:44,Ana Paula,Jurídico,Erro em sistema,Conexão com servidor instável,Alta,Resolvido,Gabriel,27/02/2025 18:25
895,05/12/2024 13:35,Juliana Castro,Operações,Erro em sistema,Troca de senha solicitada,Crítica,Fechado,Gabriel,07/12/2024 11:35
894,07/02/2025 10:11,Luciana Rocha,Logística,Backup,Problema com impressão,Alta,Aberto,Gabriel,
893,11/12/2024 16:55,Mariana Dias,Marketing,Acesso ao sistema,Erro ao abrir planilha,Alta,Aberto,Gabriel,
892,24/02/2025 09:01,Juliana Castro,RH,Problemas de rede,Erro ao abrir planilha,Alta,Fechado,Gabriel,25/02/2025 18:01
891,07/02/2025 16:39,Luciana Rocha,Operações,Acesso ao sistema,Troca de senha solicitada,Alta,Em andamento,Gabriel,
890,11/12/2024 09:09,Mariana Dias,Marketing,Troca de senha,Problema com impressão,Baixa,Resolvido,Gabriel,13/12/2024 14:09
889,23/03/2025 16:33,Mariana Dias,Comercial,Backup,Erro ao abrir planilha,Média,Aberto,Gabriel,
888,12/03/2025 12:29,Juliana Castro,Operações,Acesso ao sistema,Problema com impressão,Média,Fechado,Gabriel,14/03/2025 08:29
887,01/01/2025 15:55,Luciana Rocha,Logística,Solicitação de software,Troca de senha solicitada,Baixa,Pendente,Gabriel,
886,28/03/2025 13:43,Juliana Castro,Logística,Falha em equipamento,Conexão com servidor instável,Crítica,Pendente,Gabriel,
885,23/11/2024 16:52,João Mendes,Comercial,Troca de senha,Conexão com servidor instável,Baixa,Pendente,Gabriel,
884,01/04/2025 13:46,João Mendes,Jurídico,Problemas de rede,Usuário não consegue acessar o sistema,Crítica,Fechado,Guilherme,04/04/2025 08:35
883,21/03/2025 16:40,Ana Paula,Logística,Solicitação de software,Solicitação de instalação do Office,Alta,Resolvido,Gabriel,23/03/2025 08:56
882,27/02/2025 14:58,João Mendes,Comercial,Solicitação de software,Troca de senha solicitada,Média,Fechado,Gabriel,01/03/2025 08:45
881,30/11/2024 15:04,João Mendes,Comercial,Backup,Troca de senha solicitada,Crítica,Em andamento,Gabriel,
880,22/02/2025 09:00,Luciana Rocha,Marketing,Acesso ao sistema,Solicitação de instalação do Office,Alta,Resolvido,Gabriel,23/02/2025 18:00
879,02/12/2024 14:08,Fernando Lima,RH,Backup,Troca de senha solicitada,Baixa,Aberto,Paulo,
878,27/03/2025 12:42,Luciana Rocha,Comercial,Solicitação de software,Solicitação de instalação do Office,Baixa,Pendente,Guilherme,
877,21/03/2025 15:56,Juliana Castro,TI,Solicitação de software,Conexão com servidor instável,Média,Pendente,Gabriel,
876,30/11/2024 16:08,Ana Paula,Marketing,Acesso ao sistema,Erro ao abrir planilha,Média,Aberto,Gabriel,
875,17/01/2025 16:14,Juliana Castro,RH,Problemas de rede,Erro ao abrir planilha,Média,Fechado,Gabriel,19/01/2025 18:20
874,19/02/2025 08:26,Mariana Dias,Jurídico,Troca de senha,Solicitação de instalação do Office,Baixa,Em andamento,Guilherme,
873,21/11/2024 09:27,Luciana Rocha,Logística,Erro em sistema,Conexão com servidor instável,Média,Aberto,Gabriel,
872,06/03/2025 09:38,Luciana Rocha,Comercial,Backup,Solicitação de instalação do Office,Baixa,Pendente,Gabriel,
871,17/12/2024 14:06,Bruno Alves,Logística,Problemas de rede,Conexão com servidor instável,Crítica,Resolvido,Guilherme,17/12/2024 16:06
870,14/03/2025 11:45,João Mendes,Financeiro,Acesso ao sistema,Troca de senha solicitada,Crítica,Pendente,Guilherme,
869,21/11/2024 16:44,Fernando Lima,Comercial,Solicitação de software,Troca de senha solicitada,Alta,Pendente,Gabriel,
868,02/01/2025 08:55,Juliana Castro,Marketing,Solicitação de software,Problema com impressão,Baixa,Aberto,Gabriel,
867,13/03/2025 10:13,Fernando Lima,RH,Solicitação de software,Solicitação de instalação do Office,Baixa,Em andamento,Gabriel,
866,01/02/2025 16:14,Mariana Dias,Marketing,Troca de senha,Conexão com servidor instável,Alta,Fechado,Guilherme,04/02/2025 08:14
865,27/10/2024 16:49,Ana Paula,Jurídico,Backup,Solicitação de instalação do Office,Média,Resolvido,Gabriel,28/10/2024 15:49
864,11/01/2025 08:40,Carlos Silva,Logística,Problemas de rede,Problema com impressão,Média,Pendente,Guilherme,
863,07/11/2024 16:30,Bruno Alves,Jurídico,Solicitação de software,Problema com impressão,Média,Resolvido,Gabriel,09/11/2024 10:30
862,16/03/2025 16:48,Ana Paula,Comercial,Troca de senha,Troca de senha solicitada,Crítica,Fechado,Paulo,18/03/2025 08:46
861,07/12/2024 10:32,Juliana Castro,TI,Troca de senha,Solicitação de instalação do Office,Crítica,Resolvido,Paulo,08/12/2024 09:32
860,15/03/2025 13:50,Carlos Silva,Financeiro,Solicitação de software,Problema com impressão,Média,Pendente,Guilherme,
859,12/02/2025 09:47,Mariana Dias,Operações,Acesso ao sistema,Usuário não consegue acessar o sistema,Baixa,Fechado,Gabriel,13/02/2025 09:47
858,14/10/2024 15:49,João Mendes,Financeiro,Falha em equipamento,Usuário não consegue acessar o sistema,Baixa,Fechado,Gabriel,16/10/2024 18:57
857,22/02/2025 16:25,Mariana Dias,Logística,Troca de senha,Solicitação de instalação do Office,Crítica,Aberto,Gabriel,
856,07/12/2024 14:01,Ana Paula,Jurídico,Troca de senha,Solicitação de instalação do Office,Baixa,Aberto,Gabriel,
855,01/03/2025 08:39,Juliana Castro,Logística,Acesso ao sistema,Usuário não consegue acessar o sistema,Média,Fechado,Gabriel,02/03/2025 08:35
854,17/10/2024 16:13,Ana Paula,Jurídico,Problemas de rede,Problema com impressão,Crítica,Aberto,Guilherme,
853,21/11/2024 14:26,Fernando Lima,Operações,Solicitação de software,Usuário não consegue acessar o sistema,Alta,Em andamento,Gabriel,
852,26/01/2025 16:51,Luciana Rocha,Operações,Falha em equipamento,Usuário não consegue acessar o sistema,Alta,Em andamento,Gabriel,
851,14/02/2025 14:45,Fernando Lima,Operações,Falha em equipamento,Conexão com servidor instável,Baixa,Em andamento,Gabriel,
850,30/10/2024 14:49,Juliana Castro,TI,Troca de senha,Erro ao abrir planilha,Baixa,Aberto,Gabriel,
849,22/01/2025 14:09,Ana Paula,RH,Acesso ao sistema,Usuário não consegue acessar o sistema,Média,Resolvido,Gabriel,24/01/2025 08:30
848,24/01/2025 09:55,Fernando Lima,Marketing,Backup,Solicitação de instalação do Office,Crítica,Resolvido,Guilherme,24/01/2025 12:55
847,24/10/2024 15:17,João Mendes,Comercial,Problemas de rede,Problema com impressão,Crítica,Resolvido,Guilherme,26/10/2024 09:17
846,01/11/2024 09:34,Luciana Rocha,Financeiro,Backup,Erro ao abrir planilha,Crítica,Aberto,Guilherme,
845,21/11/2024 12:41,Carlos Silva,Comercial,Solicitação de software,Erro ao abrir planilha,Alta,Aberto,Guilherme,
844,14/01/2025 15:54,Mariana Dias,Comercial,Troca de senha,Problema com impressão,Crítica,Resolvido,Guilherme,16/01/2025 18:21
843,17/03/2025 16:01,Ana Paula,TI,Problemas de rede,Conexão com servidor instável,Média,Resolvido,Gabriel,17/03/2025 18:03
842,24/01/2025 11:31,Ana Paula,Operações,Falha em equipamento,Troca de senha solicitada,Crítica,Aberto,Paulo,
841,29/11/2024 14:49,Mariana Dias,Jurídico,Troca de senha,Conexão com servidor instável,Alta,Fechado,Gabriel,02/12/2024 08:03
840,13/10/2024 09:13,Fernando Lima,Marketing,Falha em equipamento,Usuário não consegue acessar o sistema,Baixa,Resolvido,Guilherme,14/10/2024 09:13
839,20/02/2025 12:21,Fernando Lima,Marketing,Problemas de rede,Usuário não consegue acessar o sistema,Baixa,Aberto,Guilherme,
838,03/04/2025 08:33,Fernando Lima,TI,Erro em sistema,Solicitação de instalação do Office,Crítica,Resolvido,Guilherme,03/04/2025 17:33
837,09/01/2025 13:39,Fernando Lima,Operações,Backup,Conexão com servidor instável,Crítica,Em andamento,Guilherme,
836,28/10/2024 15:08,Ana Paula,Operações,Backup,Solicitação de instalação do Office,Alta,Pendente,Gabriel,
835,31/12/2024 13:49,Luciana Rocha,Jurídico,Solicitação de software,Troca de senha solicitada,Média,Em andamento,Guilherme,
834,24/01/2025 11:25,Carlos Silva,Operações,Problemas de rede,Usuário não consegue acessar o sistema,Média,Resolvido,Gabriel,26/01/2025 08:38
833,26/03/2025 10:18,Luciana Rocha,TI,Backup,Problema com impressão,Crítica,Aberto,Guilherme,
832,09/01/2025 10:15,Luciana Rocha,Logística,Solicitação de software,Troca de senha solicitada,Baixa,Fechado,Gabriel,10/01/2025 08:15
831,21/02/2025 11:14,João Mendes,Comercial,Solicitação de software,Solicitação de instalação do Office,Alta,Resolvido,Paulo,24/02/2025 08:48
830,04/04/2025 13:24,Luciana Rocha,Logística,Erro em sistema,Troca de senha solicitada,Alta,Em andamento,Gabriel,
829,29/10/2024 16:43,Mariana Dias,Operações,Erro em sistema,Problema com impressão,Média,Em andamento,Guilherme,
828,12/11/2024 09:48,Fernando Lima,TI,Solicitação de software,Troca de senha solicitada,Crítica,Pendente,Guilherme,
827,02/03/2025 08:04,Mariana Dias,Jurídico,Erro em sistema,Erro ao abrir planilha,Baixa,Pendente,Gabriel,
826,24/02/2025 10:22,Luciana Rocha,Marketing,Acesso ao sistema,Troca de senha solicitada,Média,Fechado,Gabriel,26/02/2025 08:22
825,28/01/2025 16:42,Juliana Castro,Comercial,Erro em sistema,Problema com impressão,Crítica,Pendente,Gabriel,
824,03/11/2024 09:37,Ana Paula,Jurídico,Backup,Usuário não consegue acessar o sistema,Baixa,Fechado,Guilherme,04/11/2024 15:37
823,07/03/2025 14:08,Mariana Dias,Operações,Troca de senha,Problema com impressão,Crítica,Pendente,Gabriel,
822,03/02/2025 14:18,Bruno Alves,Logística,Troca de senha,Usuário não consegue acessar o sistema,Alta,Pendente,Gabriel,
821,20/02/2025 11:16,Mariana Dias,Comercial,Acesso ao sistema,Troca de senha solicitada,Crítica,Em andamento,Gabriel,
820,25/11/2024 14:35,Mariana Dias,Jurídico,Erro em sistema,Usuário não consegue acessar o sistema,Crítica,Resolvido,Guilherme,26/11/2024 14:35
819,08/11/2024 08:02,João Mendes,Jurídico,Backup,Solicitação de instalação do Office,Alta,Fechado,Gabriel,10/11/2024 15:02
818,20/12/2024 08:07,Luciana Rocha,TI,Problemas de rede,Usuário não consegue acessar o sistema,Crítica,Aberto,Gabriel,
817,17/11/2024 13:47,Carlos Silva,Jurídico,Troca de senha,Troca de senha solicitada,Alta,Fechado,Gabriel,19/11/2024 08:14
816,28/02/2025 14:15,Bruno Alves,TI,Erro em sistema,Solicitação de instalação do Office,Alta,Aberto,Guilherme,
815,28/10/2024 15:51,Bruno Alves,Operações,Falha em equipamento,Erro ao abrir planilha,Baixa,Pendente,Gabriel,
814,22/03/2025 12:47,Luciana Rocha,RH,Solicitação de software,Usuário não consegue acessar o sistema,Baixa,Fechado,Guilherme,25/03/2025 09:47
813,17/11/2024 08:21,Bruno Alves,Jurídico,Troca de senha,Solicitação de instalação do Office,Média,Aberto,Gabriel,
812,14/10/2024 11:18,Carlos Silva,Marketing,Falha em equipamento,Erro ao abrir planilha,Alta,Resolvido,Gabriel,15/10/2024 16:18
811,19/12/2024 13:35,Mariana Dias,Comercial,Solicitação de software,Conexão com servidor instável,Alta,Em andamento,Gabriel,
810,23/01/2025 16:58,Mariana Dias,RH,Acesso ao sistema,Erro ao abrir planilha,Média,Em andamento,Gabriel,
809,20/12/2024 16:21,Carlos Silva,Logística,Problemas de rede,Problema com impressão,Crítica,Resolvido,Guilherme,20/12/2024 18:40
808,29/12/2024 14:16,Juliana Castro,TI,Problemas de rede,Usuário não consegue acessar o sistema,Média,Em andamento,Paulo,
807,01/03/2025 08:25,Luciana Rocha,RH,Erro em sistema,Conexão com servidor instável,Alta,Fechado,Gabriel,03/03/2025 17:25
806,12/12/2024 14:23,Ana Paula,Marketing,Acesso ao sistema,Erro ao abrir planilha,Média,Em andamento,Gabriel,
805,25/10/2024 08:20,João Mendes,Operações,Problemas de rede,Solicitação de instalação do Office,Alta,Pendente,Gabriel,
804,22/10/2024 15:44,Ana Paula,TI,Falha em equipamento,Erro ao abrir planilha,Baixa,Em andamento,Paulo,
803,13/03/2025 10:49,Carlos Silva,Logística,Falha em equipamento,Problema com impressão,Alta,Aberto,Gabriel,
802,03/11/2024 13:20,Juliana Castro,Operações,Acesso ao sistema,Problema com impressão,Baixa,Em andamento,Gabriel,
801,17/01/2025 14:24,Fernando Lima,RH,Solicitação de software,Troca de senha solicitada,Alta,Pendente,Gabriel,
800,12/10/2024 15:53,Bruno Alves,Marketing,Falha em equipamento,Erro ao abrir planilha,Média,Aberto,Gabriel,
799,03/02/2025 14:54,Bruno Alves,Marketing,Erro em sistema,Troca de senha solicitada,Alta,Pendente,Gabriel,
798,06/04/2025 13:28,Fernando Lima,TI,Solicitação de software,Usuário não consegue acessar o sistema,Baixa,Resolvido,Gabriel,07/04/2025 19:35:26
797,17/10/2024 15:45,Ana Paula,Logística,Solicitação de software,Conexão com servidor instável,Alta,Aberto,Guilherme,
796,29/01/2025 14:38,Luciana Rocha,Logística,Backup,Troca de senha solicitada,Crítica,Resolvido,Guilherme,01/02/2025 08:56
795,09/02/2025 13:17,Bruno Alves,Comercial,Erro em sistema,Usuário não consegue acessar o sistema,Média,Em andamento,Guilherme,
794,04/02/2025 08:40,Mariana Dias,Logística,Troca de senha,Problema com impressão,Alta,Pendente,Gabriel,
793,01/12/2024 14:12,Mariana Dias,Logística,Erro em sistema,Solicitação de instalação do Office,Baixa,Pendente,Gabriel,
